transaction_id,student_id,date,time,merchant,category,amount
T0000001,20230041,2026-03-14,19:14:00,超市A,超市,12.11
T0000002,20240070,2026-03-03,18:30:00,一食堂-风味窗口,食堂,14.64
T0000003,20220012,2026-03-20,12:56:00,二食堂-大众窗口,食堂,11.19
T0000004,20230069,2026-03-17,12:59:00,二食堂-大众窗口,食堂,13.0
T0000005,20240030,2026-03-09,13:46:00,一食堂-大众窗口,食堂,14.47
T0000006,20230017,2026-03-10,18:59:00,一食堂-风味窗口,食堂,16.88
T0000007,20220036,2026-03-06,11:04:00,一食堂-风味窗口,食堂,21.35
T0000008,20230089,2026-03-08,18:59:00,二食堂-面食窗口,食堂,11.64
T0000009,20250087,2026-03-16,07:21:00,二食堂-面食窗口,食堂,16.31
T0000010,20250091,2026-03-07,12:36:00,一食堂-大众窗口,食堂,10.99
T0000011,20240010,2026-03-04,07:29:00,二食堂-大众窗口,食堂,13.58
T0000012,20230005,2026-03-20,18:48:00,一食堂-风味窗口,食堂,16.18
T0000013,20230081,2026-03-19,18:11:00,一食堂-风味窗口,食堂,21.34
T0000014,20220032,2026-03-20,13:52:00,一食堂-大众窗口,食堂,11.26
T0000015,20220056,2026-03-14,11:33:00,一食堂-风味窗口,食堂,21.76
T0000016,20220068,2026-03-13,11:08:00,一食堂-风味窗口,食堂,18.09
T0000017,20230053,2026-03-02,18:34:00,二食堂-面食窗口,食堂,11.22
T0000018,20240086,2026-03-02,18:44:00,一食堂-大众窗口,食堂,11.95
T0000019,20240078,2026-03-22,08:48:00,一食堂-大众窗口,食堂,13.76
T0000020,20240062,2026-03-13,18:52:00,二食堂-大众窗口,食堂,11.05
T0000021,20230033,2026-03-19,11:24:00,一食堂-大众窗口,食堂,11.68
T0000022,20250035,2026-03-21,11:10:00,一食堂-风味窗口,食堂,12.62
T0000023,20250063,2026-03-12,11:28:00,二食堂-面食窗口,食堂,11.85
T0000024,20250019,2026-03-15,11:18:00,二食堂-大众窗口,食堂,14.69
T0000025,20240022,2026-03-20,12:53:00,二食堂-面食窗口,食堂,10.64
T0000026,20240094,2026-03-19,07:45:00,一食堂-风味窗口,食堂,17.63
T0000027,20240090,2026-03-06,08:43:00,二食堂-大众窗口,食堂,12.34
T0000028,20220044,2026-03-19,18:24:00,二食堂-面食窗口,食堂,10.57
T0000029,20230117,2026-03-10,07:36:00,二食堂-面食窗口,食堂,16.59
T0000030,20250091,2026-03-19,08:12:00,二食堂-面食窗口,食堂,11.71
T0000031,20240114,2026-03-06,10:26:00,水果店,超市,18.76
T0000032,20220076,2026-03-07,17:56:00,一食堂-风味窗口,食堂,13.19
T0000033,20250083,2026-03-03,18:25:00,二食堂-大众窗口,食堂,9.53
T0000034,20220108,2026-03-09,12:35:00,二食堂-大众窗口,食堂,12.99
T0000035,20240086,2026-03-03,18:48:00,一食堂-大众窗口,食堂,8.87
T0000036,20220016,2026-03-14,13:35:00,二食堂-大众窗口,食堂,8.68
T0000037,20250115,2026-03-14,18:35:00,一食堂-大众窗口,食堂,9.01
T0000038,20230045,2026-03-16,08:25:00,二食堂-大众窗口,食堂,14.77
T0000039,20230105,2026-03-14,12:58:00,一食堂-风味窗口,食堂,15.06
T0000040,20240010,2026-03-02,13:45:00,一食堂-风味窗口,食堂,16.25
T0000041,20240014,2026-03-10,18:36:00,一食堂-风味窗口,食堂,20.2
T0000042,20250003,2026-03-12,13:06:00,二食堂-面食窗口,食堂,10.44
T0000043,20220012,2026-03-11,08:31:00,一食堂-大众窗口,食堂,8.82
T0000044,20220028,2026-03-10,21:30:00,便利店,超市,5.76
T0000045,20250075,2026-03-22,18:06:00,二食堂-大众窗口,食堂,11.9
T0000046,20240026,2026-03-20,17:51:00,二食堂-面食窗口,食堂,11.35
T0000047,20220104,2026-03-17,08:20:00,二食堂-大众窗口,食堂,9.55
T0000048,20230041,2026-03-04,18:49:00,一食堂-风味窗口,食堂,18.71
T0000049,20220044,2026-03-16,07:05:00,一食堂-大众窗口,食堂,14.88
T0000050,20240058,2026-03-12,17:24:00,二食堂-面食窗口,食堂,14.74
T0000051,20220104,2026-03-21,17:13:00,一食堂-大众窗口,食堂,13.71
T0000052,20250091,2026-03-18,07:22:00,一食堂-风味窗口,食堂,14.79
T0000053,20220016,2026-03-16,11:17:00,二食堂-面食窗口,食堂,14.85
T0000054,20240022,2026-03-07,12:44:00,二食堂-大众窗口,食堂,8.94
T0000055,20230037,2026-03-17,12:54:00,二食堂-面食窗口,食堂,14.73
T0000056,20230009,2026-03-14,17:17:00,二食堂-大众窗口,食堂,11.77
T0000057,20240110,2026-03-13,18:31:00,二食堂-面食窗口,食堂,12.64
T0000058,20240066,2026-03-05,07:33:00,一食堂-风味窗口,食堂,15.93
T0000059,20230117,2026-03-18,12:18:00,一食堂-大众窗口,食堂,14.75
T0000060,20230101,2026-03-08,11:25:00,一食堂-大众窗口,食堂,14.03
T0000061,20230033,2026-03-17,08:29:00,二食堂-大众窗口,食堂,8.04
T0000062,20240074,2026-03-11,08:49:00,一食堂-风味窗口,食堂,19.25
T0000063,20250071,2026-03-17,12:55:00,一食堂-大众窗口,食堂,12.61
T0000064,20240058,2026-03-08,18:13:00,二食堂-面食窗口,食堂,15.31
