student_id,grade,college,gender
20230001,2023,计算机学院,男
20240002,2024,经济学院,女
20250003,2025,理学院,女
20220004,2022,外国语学院,男
20230005,2023,信息管理学院,男
20240006,2024,经济学院,女
20250007,2025,外国语学院,女
20220008,2022,信息管理学院,男
20230009,2023,经济学院,男
20240010,2024,理学院,男
20250011,2025,计算机学院,男
20220012,2022,理学院,男
20230013,2023,经济学院,女
20240014,2024,理学院,女
20250015,2025,理学院,男
20220016,2022,计算机学院,男
20230017,2023,经济学院,男
20240018,2024,外国语学院,女
20250019,2025,外国语学院,男
20220020,2022,计算机学院,男
20230021,2023,外国语学院,男
20240022,2024,信息管理学院,女
20250023,2025,理学院,女
20220024,2022,信息管理学院,男
20230025,2023,信息管理学院,男
20240026,2024,理学院,男
20250027,2025,计算机学院,女
20220028,2022,计算机学院,女
20230029,2023,外国语学院,男
20240030,2024,计算机学院,男
20250031,2025,计算机学院,男
20220032,2022,计算机学院,男
20230033,2023,计算机学院,男
20240034,2024,经济学院,女
20250035,2025,计算机学院,女
20220036,2022,理学院,男
20230037,2023,经济学院,男
20240038,2024,理学院,男
20250039,2025,理学院,女
20220040,2022,理学院,男
20230041,2023,外国语学院,男
20240042,2024,计算机学院,男
20250043,2025,信息管理学院,男
20220044,2022,理学院,男
20230045,2023,经济学院,女
20240046,2024,理学院,女
20250047,2025,理学院,男
20220048,2022,信息管理学院,女
20230049,2023,信息管理学院,男
20240050,2024,计算机学院,男
20250051,2025,经济学院,男
20220052,2022,信息管理学院,女
20230053,2023,计算机学院,男
20240054,2024,经济学院,男
20250055,2025,信息管理学院,女
20220056,2022,理学院,女
20230057,2023,外国语学院,男
20240058,2024,计算机学院,女
20250059,2025,外国语学院,女
20220060,2022,信息管理学院,男
20230061,2023,计算机学院,男
20240062,2024,信息管理学院,女
20250063,2025,计算机学院,男
20220064,2022,经济学院,女
20230065,2023,信息管理学院,女
20240066,2024,外国语学院,男
20250067,2025,计算机学院,女
20220068,2022,外国语学院,女
20230069,2023,信息管理学院,男
20240070,2024,经济学院,男
20250071,2025,理学院,男
20220072,2022,外国语学院,男
20230073,2023,经济学院,女
20240074,2024,信息管理学院,男
20250075,2025,外国语学院,男
20220076,2022,信息管理学院,男
20230077,2023,信息管理学院,男
20240078,2024,外国语学院,女
20250079,2025,计算机学院,女
20220080,2022,经济学院,男
20230081,2023,信息管理学院,女
20240082,2024,经济学院,女
20250083,2025,经济学院,女
20220084,2022,信息管理学院,男
20230085,2023,信息管理学院,女
20240086,2024,计算机学院,男
20250087,2025,理学院,男
20220088,2022,外国语学院,男
20230089,2023,经济学院,男
20240090,2024,外国语学院,男
20250091,2025,计算机学院,男
20220092,2022,外国语学院,男
20230093,2023,经济学院,男
20240094,2024,信息管理学院,男
20250095,2025,信息管理学院,男
20220096,2022,理学院,男
20230097,2023,信息管理学院,男
20240098,2024,经济学院,女
20250099,2025,计算机学院,女
20220100,2022,经济学院,女
20230101,2023,理学院,女
20240102,2024,计算机学院,男
20250103,2025,计算机学院,男
20220104,2022,理学院,女
20230105,2023,计算机学院,女
20240106,2024,计算机学院,女
20250107,2025,信息管理学院,女
20220108,2022,理学院,男
20230109,2023,外国语学院,女
20240110,2024,信息管理学院,男
20250111,2025,理学院,女
20220112,2022,信息管理学院,女
20230113,2023,计算机学院,女
20240114,2024,经济学院,女
20250115,2025,外国语学院,男
20220116,2022,外国语学院,女
20230117,2023,理学院,男
20240118,2024,理学院,女
20250119,2025,信息管理学院,男
20220120,2022,信息管理学院,男
